time_epoch_ns,power_w
1754511104853337595,95.173000
1754511104873337086,95.658000
1754511104895339997,95.658000
1754511104913336827,95.658000
1754511104933334178,95.658000
1754511104953330968,95.658000
1754511104973337569,95.173000
1754511104996339031,95.173000
1754511105014336881,95.173000
1754511105033337781,95.173000
1754511105053344471,95.173000
1754511105073348132,97.307000
1754511105097337455,97.307000
1754511105113344463,97.307000
1754511105133336414,97.307000
1754511105153336505,97.307000
1754511105173332345,95.756000
1754511105198338869,95.756000
1754511105213335817,95.756000
1754511105233333297,95.756000
1754511105253333708,95.756000
1754511105273364728,95.756000
1754511105299334842,95.756000
1754511105313332580,95.756000
1754511105333340760,95.756000
1754511105353333711,95.756000
1754511105373333851,95.658000
1754511105400336306,95.658000
1754511105413335373,95.658000
1754511105433332623,95.658000
1754511105453344964,95.658000
1754511105477341637,95.658000
1754511105501336950,95.658000
1754511105513362806,95.658000
1754511105533337817,95.658000
1754511105553342877,95.658000
1754511105573340638,95.167000
1754511105602339313,95.167000
1754511105613336379,95.167000
1754511105633339280,95.167000
1754511105653341130,95.167000
1754511105673337591,97.210000
1754511105703340867,97.210000
1754511105714337583,97.210000
1754511105733343223,97.210000
1754511105753339184,97.210000
1754511105773340284,96.241000
1754511105793382145,96.241000
1754511105813338645,96.241000
1754511105833337946,96.241000
1754511105853337957,96.241000
1754511105873337647,97.307000
1754511105897079030,97.307000
1754511105913371339,97.307000
1754511105933751099,97.307000
1754511105955800421,97.307000
1754511105977002252,95.173000
1754511105993420461,95.173000
1754511106019660445,95.173000
1754511106034033083,95.173000
1754511106054819584,95.173000
1754511106075799615,95.173000
1754511106097260886,95.173000
1754511106124170681,95.173000
1754511106136955668,95.173000
1754511106157699049,95.173000
1754511106176919849,95.173000
1754511106196546789,95.173000
1754511106223746094,95.173000
1754511106236606050,95.173000
1754511106255619291,95.173000
1754511106274660041,95.173000
1754511106294176411,95.173000
1754511106314442602,95.173000
1754511106335167493,95.173000
1754511106354549643,95.173000
1754511106374811754,95.173000
1754511106395675935,95.173000
1754511106416886666,95.173000
1754511106433365015,95.173000
1754511106453450176,95.173000
1754511106473397647,95.173000
1754511106505524434,95.658000
1754511106520062881,95.658000
1754511106534984829,95.658000
1754511106556141650,95.658000
1754511106577352692,95.658000
1754511106593478350,94.688000
1754511106613451801,94.688000
1754511106640796255,94.688000
1754511106654470673,94.688000
1754511106675356904,94.688000
1754511106696239975,95.173000
1754511106717492366,95.173000
1754511106745952461,95.173000
1754511106759952329,95.173000
1754511106774067266,95.173000
1754511106794917627,94.688000
1754511106815952289,94.688000
1754511106832491867,94.688000
1754511106853383458,94.688000
1754511106873429259,94.688000
1754511106893756650,95.173000
1754511106917188712,95.173000
1754511106933205481,95.173000
1754511106953335672,95.173000
1754511106973336552,95.173000
1754511107000329197,94.688000
1754511107013324574,94.688000
1754511107033329884,94.688000
1754511107055329596,94.688000
1754511107073338015,94.688000
1754511107093326196,289.035000
1754511107113329017,289.035000
1754511107133331187,289.035000
1754511107156333860,289.035000
1754511107173330109,289.035000
1754511107193325179,206.952000
1754511107213323720,206.952000
1754511107233323890,206.952000
1754511107257334643,206.952000
1754511107273334112,206.952000
1754511107293327072,298.221000
1754511107313328443,298.221000
1754511107342365318,298.221000
1754511107352423294,298.221000
1754511107373345195,298.221000
1754511107393328386,303.263000
1754511107413329616,303.263000
1754511107433325367,303.263000
1754511107461329302,303.263000
1754511107473330958,303.263000
1754511107493328869,299.650000
1754511107513341289,299.650000
1754511107533328800,299.650000
1754511107553328151,299.650000
1754511107575339942,299.650000
1754511107593327752,304.214000
1754511107613324262,304.214000
1754511107633327023,304.214000
1754511107653329084,304.214000
1754511107676340036,304.214000
1754511107693328715,312.577000
1754511107713324386,312.577000
1754511107733327486,312.577000
1754511107753323857,312.577000
1754511107777321980,312.577000
1754511107793319028,306.692000
1754511107813314519,306.692000
1754511107833321379,306.692000
1754511107853325230,306.692000
1754511107878328683,306.692000
1754511107893324211,307.167000
1754511107913326582,307.167000
1754511107933331023,307.167000
1754511107953328893,307.167000
1754511107979328347,307.167000
1754511107993326525,306.968000
1754511108013333555,306.968000
1754511108033322576,306.968000
1754511108053328666,306.968000
1754511108080328691,306.968000
1754511108093317268,301.457000
1754511108113326928,301.457000
1754511108133324599,301.457000
1754511108153339590,301.457000
1754511108181336535,301.457000
1754511108193334191,302.409000
1754511108213328841,302.409000
1754511108233325012,302.409000
1754511108253330613,302.409000
1754511108282330258,302.409000
1754511108293328224,322.716000
1754511108313332675,322.716000
1754511108333329775,322.716000
1754511108353350556,322.716000
1754511108372438996,322.716000
1754511108393337037,313.626000
1754511108413340058,313.626000
1754511108433338239,313.626000
1754511108453334209,313.626000
1754511108473365540,313.626000
1754511108493334980,309.822000
1754511108513337121,309.822000
1754511108533329212,309.822000
1754511108553331552,309.822000
1754511108573331203,309.822000
1754511108595332435,307.643000
1754511108613334764,307.643000
1754511108633326425,307.643000
1754511108653333315,307.643000
1754511108673338496,307.643000
1754511108696327628,298.796000
1754511108713334007,298.796000
1754511108733328088,298.796000
1754511108753329539,298.796000
1754511108773329219,298.796000
1754511108797328732,300.224000
1754511108813329361,300.224000
1754511108833322951,300.224000
1754511108853325982,300.224000
1754511108873329742,300.224000
1754511108898332016,307.643000
1754511108913334274,307.643000
1754511108933326064,307.643000
1754511108953327355,307.643000
1754511108973329486,307.643000
1754511108999332219,285.355000
1754511109013330247,285.355000
1754511109033331847,285.355000
1754511109053326348,285.355000
1754511109073325719,285.355000
1754511109100323393,316.749000
1754511109113316730,316.749000
1754511109133328161,316.749000
1754511109153329991,316.749000
1754511109173328052,316.749000
1754511109201330947,296.988000
1754511109213330513,296.988000
1754511109233318964,296.988000
1754511109253329494,296.988000
1754511109273326495,296.988000
1754511109302331801,296.036000
1754511109313325426,296.036000
1754511109333339827,296.036000
1754511109353330368,296.036000
1754511109374334849,296.036000
1754511109403328864,318.271000
1754511109414333680,318.271000
1754511109433388180,318.271000
1754511109453346841,318.271000
1754511109486335818,318.271000
1754511109497371464,318.271000
1754511109513328723,115.613000
1754511109533333043,115.613000
1754511109553332504,115.613000
1754511109573329845,115.613000
1754511109593334205,115.613000
1754511109615332137,131.616000
1754511109633330916,131.616000
1754511109653331157,131.616000
1754511109673334568,131.616000
1754511109693332618,131.616000
1754511109716367131,126.687000
1754511109733333830,126.687000
1754511109753330810,126.687000
1754511109773326681,126.687000
1754511109793328552,126.687000
1754511109817328994,164.653000
1754511109833328083,164.653000
1754511109853330453,164.653000
1754511109873334134,164.653000
1754511109893328215,164.653000
1754511109918335428,134.418000
